2025-09-13 15:33:59 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_valid_user_login
2025-09-13 15:33:59 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:33:59 | ERROR | utils.logger:error:74 | 浏览器设置失败: local variable 'os' referenced before assignment
2025-09-13 15:33:59 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_valid_user_login - COMPLETED (0.02s)
2025-09-13 15:34:02 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_valid_user_login
2025-09-13 15:34:02 | ERROR | utils.logger:error:74 | 浏览器设置失败: local variable 'os' referenced before assignment
2025-09-13 15:34:02 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_valid_user_login - COMPLETED (0.03s)
2025-09-13 15:34:05 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_valid_user_login
2025-09-13 15:34:05 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:34:05 | ERROR | utils.logger:error:74 | 浏览器设置失败: local variable 'os' referenced before assignment
2025-09-13 15:34:05 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_valid_user_login - COMPLETED (0.05s)
