2025-09-13 17:42:47 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_user_registration_success
2025-09-13 17:42:47 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 17:42:53 | INFO | utils.logger:data_operation:129 | 📊 Data Operation: Generated test user data (User)
2025-09-13 17:43:01 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 17:43:01 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/login'
2025-09-13 17:43:01 | INFO | utils.logger:step:86 | 🔸 STEP: Opened login page
2025-09-13 17:43:01 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying login page loaded
2025-09-13 17:43:01 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:43:01 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:43:01 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying signup section visible
2025-09-13 17:43:01 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:43:01 | INFO | utils.logger:step:86 | 🔸 STEP: Signing up new user: 晨 Armstrong
2025-09-13 17:43:01 | INFO | utils.logger:step:86 | 🔸 STEP: Filling signup form with name: 晨 Armstrong, email: liaoyang@example.com
2025-09-13 17:43:01 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-name']''
2025-09-13 17:43:01 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-name']' text='晨 Armstrong''
2025-09-13 17:43:01 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-email']''
2025-09-13 17:43:02 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-email']' text='liaoyang@example.com''
2025-09-13 17:43:02 | INFO | utils.logger:step:86 | 🔸 STEP: Clicking signup button
2025-09-13 17:43:02 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 17:43:06 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 17:43:06 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying signup page loaded
2025-09-13 17:43:06 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:43:06 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying name and email prefilled
