2025-09-13 17:34:54 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_registration_and_login_flow
2025-09-13 17:34:54 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 17:34:58 | INFO | utils.logger:data_operation:129 | 📊 Data Operation: Generated test user data (User)
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/login'
2025-09-13 17:35:05 | INFO | utils.logger:step:86 | 🔸 STEP: Opened login page
2025-09-13 17:35:05 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying login page loaded
2025-09-13 17:35:05 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:35:05 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:35:05 | INFO | utils.logger:step:86 | 🔸 STEP: Signing up new user: 玉梅 Phillips
2025-09-13 17:35:05 | INFO | utils.logger:step:86 | 🔸 STEP: Filling signup form with name: 玉梅 Phillips, email: leijiang@example.org
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-name']''
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-name']' text='玉梅 Phillips''
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-email']''
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-email']' text='leijiang@example.org''
2025-09-13 17:35:05 | INFO | utils.logger:step:86 | 🔸 STEP: Clicking signup button
2025-09-13 17:35:05 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 17:35:10 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying signup page loaded
2025-09-13 17:35:10 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 17:35:10 | INFO | utils.logger:step:86 | 🔸 STEP: Completing registration for user: 玉梅
2025-09-13 17:35:10 | INFO | utils.logger:step:86 | 🔸 STEP: Selecting title: Mr
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'id='id_gender1''
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'id='id_gender1''
2025-09-13 17:35:10 | INFO | utils.logger:step:86 | 🔸 STEP: Filling account information
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='password''
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='password' text='P3BEBxrN_7Cv''
2025-09-13 17:35:10 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='days''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='days' value='1''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='months''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='months' text='January''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='years''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='years' value='1990''
2025-09-13 17:35:11 | INFO | utils.logger:step:86 | 🔸 STEP: Checking newsletter subscription
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'id='newsletter''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'id='newsletter''
2025-09-13 17:35:11 | INFO | utils.logger:step:86 | 🔸 STEP: Checking special offers
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'id='optin''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'id='optin''
2025-09-13 17:35:11 | INFO | utils.logger:step:86 | 🔸 STEP: Filling address information
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='first_name''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='first_name' text='玉梅''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='last_name''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='last_name' text='Phillips''
2025-09-13 17:35:11 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='company''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='company' text='Singh, Hickman and Campbell''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='address1''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='address1' text='湖南省艳市清浦曾路V座 101485''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='address2''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='address2' text='Suite 426''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='country''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='country' text='India''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='state''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='state' text='Montana''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='city''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='city' text='North Stevenbury''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='zipcode''
2025-09-13 17:35:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='zipcode' text='47227''
2025-09-13 17:35:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='mobile_number''
2025-09-13 17:35:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='mobile_number' text='+1-551-752-7790x818''
